category,file,line,call_kind,object,operation,rationale
B,app/api/messages/[conversationId]/participants/route.ts,73,from,conversation_participants,INSERT,mutation applicative normale
B,app/api/messages/[conversationId]/participants/route.ts,117,from,conversation_participants,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/participants/route.ts,151,from,conversation_participants,DELETE,mutation applicative normale
B,app/api/messages/[conversationId]/rooms/[roomId]/route.ts,31,from,conversation_rooms,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/rooms/[roomId]/route.ts,45,from,conversation_rooms,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/rooms/[roomId]/route.ts,54,from,messages,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/rooms/[roomId]/route.ts,55,from,conversation_rooms,DELETE,mutation applicative normale
A,app/api/messages/[conversationId]/rooms/route.ts,19,from,conversation_rooms,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/rooms/route.ts,47,from,conversation_rooms,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/rooms/route.ts,52,from,conversation_rooms,INSERT,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,110,from,conversations,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,117,from,conversation_rooms,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,131,from,messages,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,150,from,message_hidden_users,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,167,from,messages,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,179,from,message_reactions,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,183,from,message_attachments,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,188,from,message_pins,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,228,from,conversation_participants,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,282,from,conversations,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,307,from,conversation_rooms,SELECT,lecture applicative normale
A,app/api/messages/[conversationId]/route.ts,362,from,messages,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,372,from,messages,INSERT,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,394,from,messages,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,410,from,message_attachments,INSERT,mutation applicative normale
B,app/api/messages/[conversationId]/route.ts,418,from,messages,DELETE,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,424,from,message_attachments,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,431,from,conversation_participants,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/route.ts,436,from,conversation_participants,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,496,from,conversation_participants,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,511,from,conversation_participants,UPDATE,mutation applicative normale
A,app/api/messages/[conversationId]/route.ts,538,from,conversations,SELECT,lecture applicative normale
B,app/api/messages/[conversationId]/route.ts,562,from,conversations,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/route.ts,584,from,conversation_participants,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/seen/route.ts,22,from,conversation_participants,UPDATE,mutation applicative normale
B,app/api/messages/[conversationId]/seen/route.ts,27,from,messages,UPDATE,mutation applicative normale
A,app/api/messages/accept/[requestId]/route.ts,18,from,message_requests,SELECT,lecture applicative normale
A,app/api/messages/blocks/route.ts,12,from,user_blocks,SELECT,lecture applicative normale
A,app/api/messages/blocks/route.ts,35,from,profiles,SELECT,lecture applicative normale
B,app/api/messages/blocks/route.ts,38,from,user_blocks,UPSERT,mutation applicative normale
B,app/api/messages/blocks/route.ts,45,from,message_requests,UPDATE,mutation applicative normale
B,app/api/messages/blocks/route.ts,51,from,message_requests,UPDATE,mutation applicative normale
B,app/api/messages/blocks/route.ts,60,from,conversation_participants,UPDATE,mutation applicative normale
B,app/api/messages/blocks/route.ts,80,from,user_blocks,DELETE,mutation applicative normale
A,app/api/messages/contacts/route.ts,14,from,friendships,SELECT,lecture applicative normale
A,app/api/messages/contacts/route.ts,15,from,friendships,SELECT,lecture applicative normale
A,app/api/messages/contacts/route.ts,25,from,conversations,SELECT,lecture applicative normale
B,app/api/messages/contacts/route.ts,57,from,conversation_participants,UPDATE,mutation applicative normale
A,app/api/messages/conversations/route.ts,40,from,conversation_participants,SELECT,lecture applicative normale
A,app/api/messages/conversations/route.ts,51,from,conversations,SELECT,lecture applicative normale
A,app/api/messages/conversations/route.ts,63,from,conversation_participants,SELECT,lecture applicative normale
A,app/api/messages/conversations/route.ts,67,from,messages,SELECT,lecture applicative normale
