schema_name,table_name,constraint_name,constraint_type,definition,is_validated,is_deferrable,initially_deferred
public,comments,comments_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE,t,f,f
public,comments,comments_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,conversation_participants,conversation_participants_role_check,check,"CHECK (role = ANY (ARRAY['owner'::text, 'moderator'::text, 'member'::text]))",t,f,f
public,conversation_participants,conversation_participants_conversation_id_fkey,foreign_key,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE,t,f,f
public,conversation_participants,conversation_participants_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,conversation_participants,conversation_participants_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,conversation_participants,conversation_participants_conversation_id_user_id_key,unique,"UNIQUE (conversation_id, user_id)",t,f,f
public,conversation_realtime_events,conversation_realtime_event_payload_size,check,CHECK (octet_length(payload::text) <= 2048),t,f,f
public,conversation_realtime_events,conversation_realtime_events_event_type_check,check,"CHECK (event_type = ANY (ARRAY['typing'::text, 'recording'::text, 'presence'::text]))",t,f,f
public,conversation_realtime_events,conversation_realtime_events_conversation_id_fkey,foreign_key,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE,t,f,f
public,conversation_realtime_events,conversation_realtime_events_user_id_fkey,foreign_key,FOREIGN KEY (user_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
public,conversation_realtime_events,conversation_realtime_events_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,conversation_rooms,conversation_rooms_room_type_check,check,"CHECK (room_type = ANY (ARRAY['text'::text, 'voice_notes'::text]))",t,f,f
public,conversation_rooms,conversation_rooms_conversation_id_fkey,foreign_key,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE,t,f,f
public,conversation_rooms,conversation_rooms_created_by_fkey,foreign_key,FOREIGN KEY (created_by) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,conversation_rooms,conversation_rooms_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,conversations,conversations_owner_id_fkey,foreign_key,FOREIGN KEY (owner_id) REFERENCES profiles(id) ON DELETE SET NULL,t,f,f
public,conversations,conversations_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,creator_comment_filters,creator_comment_filters_pkey,primary_key,PRIMARY KEY (id),t,f,f
public,creator_comment_filters,creator_comment_filters_creator_id_word_key,unique,"UNIQUE (creator_id, word)",t,f,f
public,creator_posts,creator_posts_post_type_check,check,"CHECK (post_type = ANY (ARRAY['text'::text, 'photo'::text, 'track_share'::text, 'repost'::text]))",t,f,f
public,creator_posts,creator_posts_creator_id_fkey,foreign_key,FOREIGN KEY (creator_id) REFERENCES profiles(id) ON DELETE CASCADE,t,f,f
